,A,B,C,D,E,F,G,H,I,J,MS
0,1200,170,160,0.0075,8000,40000,49,35,400,0,0
1,1200,170,160,0.0075,8000,40000,49,35,400,0.72,0.087
2,1200,170,160,0.0075,8000,40000,49,35,400,1.44,0.007
3,1200,170,160,0.0075,8000,40000,49,35,400,2.16,0.18
4,1200,170,160,0.0075,8000,40000,49,35,400,2.88,0.414
5,1200,170,160,0.0075,8000,40000,49,35,400,3.6,0.743
6,1200,170,160,0.0075,8000,40000,49,35,400,4.32,1.129
7,1200,170,160,0.0075,8000,40000,49,35,400,5.04,1.541
8,1200,170,160,0.0075,8000,40000,49,35,400,5.76,1.98
9,1200,170,160,0.0075,8000,40000,49,35,400,6.48,2.446
10,1200,170,160,0.0075,8000,40000,49,35,400,7.2,2.922
11,1200,170,160,0.0075,8000,40000,49,35,400,7.92,3.372
12,1200,170,160,0.0075,8000,40000,49,35,400,8.64,3.767
13,1200,170,160,0.0075,8000,40000,49,35,400,9.36,4.12
14,1200,170,160,0.0075,8000,40000,49,35,400,10.08,4.458
15,1200,170,160,0.0075,8000,40000,49,35,400,10.8,4.788
16,1200,170,160,0.0075,8000,40000,49,35,400,11.52,5.1
17,1200,170,160,0.0075,8000,40000,49,35,400,12.24,5.378
18,1200,170,160,0.0075,8000,40000,49,35,400,12.96,5.612
19,1200,170,160,0.0075,8000,40000,49,35,400,13.68,5.805
20,1200,180,140,0.0045,90000000,5000000,69,35,500,0,0
21,1200,180,140,0.0045,90000000,5000000,69,35,500,0.823,4.732
22,1200,180,140,0.0045,90000000,5000000,69,35,500,1.646,6.625
23,1200,180,140,0.0045,90000000,5000000,69,35,500,2.469,8.063
24,1200,180,140,0.0045,90000000,5000000,69,35,500,3.291,9.308
25,1200,180,140,0.0045,90000000,5000000,69,35,500,4.114,10.487
26,1200,180,140,0.0045,90000000,5000000,69,35,500,4.937,11.488
27,1200,180,140,0.0045,90000000,5000000,69,35,500,5.76,12.278
28,1200,180,140,0.0045,90000000,5000000,69,35,500,6.583,12.873
29,1200,180,140,0.0045,90000000,5000000,69,35,500,7.406,13.302
30,1200,180,140,0.0045,90000000,5000000,69,35,500,8.229,13.591
31,1200,180,140,0.0045,90000000,5000000,69,35,500,9.051,13.75
32,1200,180,140,0.0045,90000000,5000000,69,35,500,9.874,13.787
33,1200,180,140,0.0045,90000000,5000000,69,35,500,10.697,13.721
34,1200,180,140,0.0045,90000000,5000000,69,35,500,11.52,13.585
35,1200,180,140,0.0045,90000000,5000000,69,35,500,12.343,13.415
36,1200,180,140,0.0045,90000000,5000000,69,35,500,13.166,13.245
37,1200,180,140,0.0045,90000000,5000000,69,35,500,13.989,13.096
38,1200,180,140,0.0045,90000000,5000000,69,35,500,14.811,12.976
39,1200,180,140,0.0045,90000000,5000000,69,35,500,15.634,12.885
40,1200,200,180,0.0035,40000,6.00E+11,30,50,600,0,0
41,1200,200,180,0.0035,40000,6.00E+11,30,50,600,0.64,8.686
42,1200,200,180,0.0035,40000,6.00E+11,30,50,600,1.28,11.312
43,1200,200,180,0.0035,40000,6.00E+11,30,50,600,1.92,14.256
44,1200,200,180,0.0035,40000,6.00E+11,30,50,600,2.56,17.268
45,1200,200,180,0.0035,40000,6.00E+11,30,50,600,3.2,19.973
46,1200,200,180,0.0035,40000,6.00E+11,30,50,600,3.84,22.379
47,1200,200,180,0.0035,40000,6.00E+11,30,50,600,4.48,24.335
48,1200,200,180,0.0035,40000,6.00E+11,30,50,600,5.12,25.743
49,1200,200,180,0.0035,40000,6.00E+11,30,50,600,5.76,26.736
50,1200,200,180,0.0035,40000,6.00E+11,30,50,600,6.4,27.462
51,1200,200,180,0.0035,40000,6.00E+11,30,50,600,7.04,28.011
52,1200,200,180,0.0035,40000,6.00E+11,30,50,600,7.68,28.438
53,1200,200,180,0.0035,40000,6.00E+11,30,50,600,8.32,28.765
54,1200,200,180,0.0035,40000,6.00E+11,30,50,600,8.96,28.99
55,1200,200,180,0.0035,40000,6.00E+11,30,50,600,9.6,29.128
56,1200,200,180,0.0035,40000,6.00E+11,30,50,600,10.24,29.22
57,1200,200,180,0.0035,40000,6.00E+11,30,50,600,10.88,29.302
58,1200,200,180,0.0035,40000,6.00E+11,30,50,600,11.52,29.39
59,1200,200,180,0.0035,40000,6.00E+11,30,50,600,12.16,29.491
60,1200,200,180,0.01,800000000,200000000,95,40,300,0,0
61,1200,200,180,0.01,800000000,200000000,95,40,300,0.64,3.553
62,1200,200,180,0.01,800000000,200000000,95,40,300,1.28,5.773
63,1200,200,180,0.01,800000000,200000000,95,40,300,1.92,7.644
64,1200,200,180,0.01,800000000,200000000,95,40,300,2.56,9.328
65,1200,200,180,0.01,800000000,200000000,95,40,300,3.2,11.384
66,1200,200,180,0.01,800000000,200000000,95,40,300,3.84,13.492
67,1200,200,180,0.01,800000000,200000000,95,40,300,4.48,14.836
68,1200,200,180,0.01,800000000,200000000,95,40,300,5.12,15.793
69,1200,200,180,0.01,800000000,200000000,95,40,300,5.76,16.851
70,1200,200,180,0.01,800000000,200000000,95,40,300,6.4,18.097
71,1200,200,180,0.01,800000000,200000000,95,40,300,7.04,19.419
72,1200,200,180,0.01,800000000,200000000,95,40,300,7.68,20.67
73,1200,200,180,0.01,800000000,200000000,95,40,300,8.32,21.739
74,1200,200,180,0.01,800000000,200000000,95,40,300,8.96,22.616
75,1200,200,180,0.01,800000000,200000000,95,40,300,9.6,23.426
76,1200,200,180,0.01,800000000,200000000,95,40,300,10.24,24.302
77,1200,200,180,0.01,800000000,200000000,95,40,300,10.88,25.271
78,1200,200,180,0.01,800000000,200000000,95,40,300,11.52,26.288
79,1200,200,180,0.01,800000000,200000000,95,40,300,12.16,27.312
80,1200,160,150,0.0035,80000000,70000000000,47,50,600,0,0
81,1200,160,150,0.0035,80000000,70000000000,47,50,600,0.768,7.897
82,1200,160,150,0.0035,80000000,70000000000,47,50,600,1.536,11.146
83,1200,160,150,0.0035,80000000,70000000000,47,50,600,2.304,14.114
84,1200,160,150,0.0035,80000000,70000000000,47,50,600,3.072,16.594
85,1200,160,150,0.0035,80000000,70000000000,47,50,600,3.84,18.779
