,A,B,C,D,E,F,G,H,I,J,Curvature
0,1200,170,160,0.0075,8000,40000,49,35,400,0,0
1,1200,170,160,0.0075,8000,40000,49,35,400,0.72,0.00745
2,1200,170,160,0.0075,8000,40000,49,35,400,1.44,0.02228
3,1200,170,160,0.0075,8000,40000,49,35,400,2.16,0.04989
4,1200,170,160,0.0075,8000,40000,49,35,400,2.88,0.07845
5,1200,170,160,0.0075,8000,40000,49,35,400,3.6,0.1066
6,1200,170,160,0.0075,8000,40000,49,35,400,4.32,0.1348
7,1200,170,160,0.0075,8000,40000,49,35,400,5.04,0.16392
8,1200,170,160,0.0075,8000,40000,49,35,400,5.76,0.19517
9,1200,170,160,0.0075,8000,40000,49,35,400,6.48,0.22992
10,1200,170,160,0.0075,8000,40000,49,35,400,7.2,0.26931
11,1200,170,160,0.0075,8000,40000,49,35,400,7.92,0.31404
12,1200,170,160,0.0075,8000,40000,49,35,400,8.64,0.36432
13,1200,170,160,0.0075,8000,40000,49,35,400,9.36,0.41991
14,1200,170,160,0.0075,8000,40000,49,35,400,10.08,0.48021
15,1200,170,160,0.0075,8000,40000,49,35,400,10.8,0.5444
16,1200,170,160,0.0075,8000,40000,49,35,400,11.52,0.61156
17,1200,170,160,0.0075,8000,40000,49,35,400,12.24,0.68074
18,1200,170,160,0.0075,8000,40000,49,35,400,12.96,0.75097
19,1200,170,160,0.0075,8000,40000,49,35,400,13.68,0.82125
20,1200,180,140,0.0045,90000000,5000000,69,35,500,0,0
21,1200,180,140,0.0045,90000000,5000000,69,35,500,0.823,0.06488
22,1200,180,140,0.0045,90000000,5000000,69,35,500,1.646,0.14615
23,1200,180,140,0.0045,90000000,5000000,69,35,500,2.469,0.2315
24,1200,180,140,0.0045,90000000,5000000,69,35,500,3.291,0.30177
25,1200,180,140,0.0045,90000000,5000000,69,35,500,4.114,0.3623
26,1200,180,140,0.0045,90000000,5000000,69,35,500,4.937,0.4248
27,1200,180,140,0.0045,90000000,5000000,69,35,500,5.76,0.49709
28,1200,180,140,0.0045,90000000,5000000,69,35,500,6.583,0.57906
29,1200,180,140,0.0045,90000000,5000000,69,35,500,7.406,0.66701
30,1200,180,140,0.0045,90000000,5000000,69,35,500,8.229,0.75923
31,1200,180,140,0.0045,90000000,5000000,69,35,500,9.051,0.85521
32,1200,180,140,0.0045,90000000,5000000,69,35,500,9.874,0.95418
33,1200,180,140,0.0045,90000000,5000000,69,35,500,10.697,1.05593
34,1200,180,140,0.0045,90000000,5000000,69,35,500,11.52,1.16099
35,1200,180,140,0.0045,90000000,5000000,69,35,500,12.343,1.26947
36,1200,180,140,0.0045,90000000,5000000,69,35,500,13.166,1.38037
37,1200,180,140,0.0045,90000000,5000000,69,35,500,13.989,1.49207
38,1200,180,140,0.0045,90000000,5000000,69,35,500,14.811,1.60315
39,1200,180,140,0.0045,90000000,5000000,69,35,500,15.634,1.71285
40,1200,200,180,0.0035,40000,6.00E+11,30,50,600,0,0
41,1200,200,180,0.0035,40000,6.00E+11,30,50,600,0.64,0.04442
42,1200,200,180,0.0035,40000,6.00E+11,30,50,600,1.28,0.06435
43,1200,200,180,0.0035,40000,6.00E+11,30,50,600,1.92,0.09758
44,1200,200,180,0.0035,40000,6.00E+11,30,50,600,2.56,0.13349
45,1200,200,180,0.0035,40000,6.00E+11,30,50,600,3.2,0.16869
46,1200,200,180,0.0035,40000,6.00E+11,30,50,600,3.84,0.20153
47,1200,200,180,0.0035,40000,6.00E+11,30,50,600,4.48,0.23154
48,1200,200,180,0.0035,40000,6.00E+11,30,50,600,5.12,0.25924
49,1200,200,180,0.0035,40000,6.00E+11,30,50,600,5.76,0.28553
50,1200,200,180,0.0035,40000,6.00E+11,30,50,600,6.4,0.31125
51,1200,200,180,0.0035,40000,6.00E+11,30,50,600,7.04,0.33718
52,1200,200,180,0.0035,40000,6.00E+11,30,50,600,7.68,0.36424
53,1200,200,180,0.0035,40000,6.00E+11,30,50,600,8.32,0.39358
54,1200,200,180,0.0035,40000,6.00E+11,30,50,600,8.96,0.42636
55,1200,200,180,0.0035,40000,6.00E+11,30,50,600,9.6,0.46341
56,1200,200,180,0.0035,40000,6.00E+11,30,50,600,10.24,0.50499
57,1200,200,180,0.0035,40000,6.00E+11,30,50,600,10.88,0.55077
58,1200,200,180,0.0035,40000,6.00E+11,30,50,600,11.52,0.59999
59,1200,200,180,0.0035,40000,6.00E+11,30,50,600,12.16,0.65177
60,1200,200,180,0.01,800000000,200000000,95,40,300,0,0
61,1200,200,180,0.01,800000000,200000000,95,40,300,0.64,0.27243
62,1200,200,180,0.01,800000000,200000000,95,40,300,1.28,0.3512
63,1200,200,180,0.01,800000000,200000000,95,40,300,1.92,0.42782
64,1200,200,180,0.01,800000000,200000000,95,40,300,2.56,0.49446
65,1200,200,180,0.01,800000000,200000000,95,40,300,3.2,0.55041
66,1200,200,180,0.01,800000000,200000000,95,40,300,3.84,0.59633
67,1200,200,180,0.01,800000000,200000000,95,40,300,4.48,0.63427
68,1200,200,180,0.01,800000000,200000000,95,40,300,5.12,0.66752
69,1200,200,180,0.01,800000000,200000000,95,40,300,5.76,0.6994
70,1200,200,180,0.01,800000000,200000000,95,40,300,6.4,0.73212
71,1200,200,180,0.01,800000000,200000000,95,40,300,7.04,0.76665
72,1200,200,180,0.01,800000000,200000000,95,40,300,7.68,0.80345
73,1200,200,180,0.01,800000000,200000000,95,40,300,8.32,0.84301
74,1200,200,180,0.01,800000000,200000000,95,40,300,8.96,0.88582
75,1200,200,180,0.01,800000000,200000000,95,40,300,9.6,0.932
76,1200,200,180,0.01,800000000,200000000,95,40,300,10.24,0.9813
77,1200,200,180,0.01,800000000,200000000,95,40,300,10.88,1.03333
78,1200,200,180,0.01,800000000,200000000,95,40,300,11.52,1.08766
79,1200,200,180,0.01,800000000,200000000,95,40,300,12.16,1.14391
80,1200,160,150,0.0035,80000000,70000000000,47,50,600,0,0
81,1200,160,150,0.0035,80000000,70000000000,47,50,600,0.768,0.11698
82,1200,160,150,0.0035,80000000,70000000000,47,50,600,1.536,0.17642
83,1200,160,150,0.0035,80000000,70000000000,47,50,600,2.304,0.24313
84,1200,160,150,0.0035,80000000,70000000000,47,50,600,3.072,0.30441
85,1200,160,150,0.0035,80000000,70000000000,47,50,600,3.84,0.35906
86,1200,160,150,0.0035,80000000,70000000000,47,50,600,4.608,0.40966
87,1200,160,150,0.0035,80000000,70000000000,47,50,600,5.376,0.46031
88,1200,160,150,0.0035,80000000,70000000000,47,50,600,6.144,0.51434
89,1200,160,150,0.0035,80000000,70000000000,47,50,600,6.912,0.5729
90,1200,160,150,0.0035,80000000,70000000000,47,50,600,7.68,0.63558
91,1200,160,150,0.0035,80000000,70000000000,47,50,600,8.448,0.70165
92,1200,160,150,0.0035,80000000,70000000000,47,50,600,9.216,0.77047
93,1200,160,150,0.0035,80000000,70000000000,47,50,600,9.984,0.84138
94,1200,160,150,0.0035,80000000,70000000000,47,50,600,10.752,0.9135
95,1200,160,150,0.0035,80000000,70000000000,47,50,600,11.52,0.98588
96,1200,160,150,0.0035,80000000,70000000000,47,50,600,12.288,1.05769
97,1200,160,150,0.0035,80000000,70000000000,47,50,600,13.056,1.12856
98,1200,160,150,0.0035,80000000,70000000000,47,50,600,13.824,1.19879
99,1200,160,150,0.0035,80000000,70000000000,47,50,600,14.592,1.26929
100,1200,120,80,0.008,600000,90000000000,56,35,400,0,0
101,1200,120,80,0.008,600000,90000000000,56,35,400,1.44,0.07643
102,1200,120,80,0.008,600000,90000000000,56,35,400,2.88,0.17688
103,1200,120,80,0.008,600000,90000000000,56,35,400,4.32,0.30018
104,1200,120,80,0.008,600000,90000000000,56,35,400,5.76,0.42306
105,1200,120,80,0.008,600000,90000000000,56,35,400,7.2,0.5461
106,1200,120,80,0.008,600000,90000000000,56,35,400,8.64,0.68187
107,1200,120,80,0.008,600000,90000000000,56,35,400,10.08,0.84339
108,1200,120,80,0.008,600000,90000000000,56,35,400,11.52,1.0342
109,1200,120,80,0.008,600000,90000000000,56,35,400,12.96,1.24675
110,1200,120,80,0.008,600000,90000000000,56,35,400,14.4,1.46772
111,1200,120,80,0.008,600000,90000000000,56,35,400,15.84,1.68366
112,1200,120,80,0.008,600000,90000000000,56,35,400,17.28,1.88209
113,1200,120,80,0.008,600000,90000000000,56,35,400,18.72,2.05315
114,1200,120,80,0.008,600000,90000000000,56,35,400,20.16,2.19567
115,1200,120,80,0.008,600000,90000000000,56,35,400,21.6,2.31911
116,1200,120,80,0.008,600000,90000000000,56,35,400,23.04,2.43553
117,1200,120,80,0.008,600000,90000000000,56,35,400,24.48,2.55181
118,1200,120,80,0.008,600000,90000000000,56,35,400,25.92,2.66911
119,1200,120,80,0.008,600000,90000000000,56,35,400,27.36,2.78588
120,1200,190,190,0.012,200000,8000000000,10,45,600,0,0
121,1200,190,190,0.012,200000,8000000000,10,45,600,0.606,0.16319
122,1200,190,190,0.012,200000,8000000000,10,45,600,1.213,0.20775
123,1200,190,190,0.012,200000,8000000000,10,45,600,1.819,0.24924
124,1200,190,190,0.012,200000,8000000000,10,45,600,2.425,0.28418
125,1200,190,190,0.012,200000,8000000000,10,45,600,3.032,0.31355
126,1200,190,190,0.012,200000,8000000000,10,45,600,3.638,0.33811
127,1200,190,190,0.012,200000,8000000000,10,45,600,4.244,0.35773
