,A,B,C,D,E,F,G,H,I,J,Com
0,1200,170,160,0.0075,8000,40000,49,35,400,0,0
1,1200,170,160,0.0075,8000,40000,49,35,400,0.72,0.1274
2,1200,170,160,0.0075,8000,40000,49,35,400,1.44,0.2065
3,1200,170,160,0.0075,8000,40000,49,35,400,2.16,0.217
4,1200,170,160,0.0075,8000,40000,49,35,400,2.88,0.2586
5,1200,170,160,0.0075,8000,40000,49,35,400,3.6,0.2989
6,1200,170,160,0.0075,8000,40000,49,35,400,4.32,0.3561
7,1200,170,160,0.0075,8000,40000,49,35,400,5.04,0.4201
8,1200,170,160,0.0075,8000,40000,49,35,400,5.76,0.4968
9,1200,170,160,0.0075,8000,40000,49,35,400,6.48,0.5789
10,1200,170,160,0.0075,8000,40000,49,35,400,7.2,0.6633
11,1200,170,160,0.0075,8000,40000,49,35,400,7.92,0.7486
12,1200,170,160,0.0075,8000,40000,49,35,400,8.64,0.8332
13,1200,170,160,0.0075,8000,40000,49,35,400,9.36,0.9152
14,1200,170,160,0.0075,8000,40000,49,35,400,10.08,0.9929
15,1200,170,160,0.0075,8000,40000,49,35,400,10.8,1.0657
16,1200,170,160,0.0075,8000,40000,49,35,400,11.52,1.1327
17,1200,170,160,0.0075,8000,40000,49,35,400,12.24,1.1938
18,1200,170,160,0.0075,8000,40000,49,35,400,12.96,1.2486
19,1200,170,160,0.0075,8000,40000,49,35,400,13.68,1.297
20,1200,180,140,0.0045,90000000,5000000,69,35,500,0,0
21,1200,180,140,0.0045,90000000,5000000,69,35,500,0.823,0.4094
22,1200,180,140,0.0045,90000000,5000000,69,35,500,1.646,1.0283
23,1200,180,140,0.0045,90000000,5000000,69,35,500,2.469,1.683
24,1200,180,140,0.0045,90000000,5000000,69,35,500,3.291,2.1846
25,1200,180,140,0.0045,90000000,5000000,69,35,500,4.114,2.6097
26,1200,180,140,0.0045,90000000,5000000,69,35,500,4.937,2.9376
27,1200,180,140,0.0045,90000000,5000000,69,35,500,5.76,3.2015
28,1200,180,140,0.0045,90000000,5000000,69,35,500,6.583,3.416
29,1200,180,140,0.0045,90000000,5000000,69,35,500,7.406,3.5896
30,1200,180,140,0.0045,90000000,5000000,69,35,500,8.229,3.7272
31,1200,180,140,0.0045,90000000,5000000,69,35,500,9.051,3.8304
32,1200,180,140,0.0045,90000000,5000000,69,35,500,9.874,3.9012
33,1200,180,140,0.0045,90000000,5000000,69,35,500,10.697,3.9422
34,1200,180,140,0.0045,90000000,5000000,69,35,500,11.52,3.9567
35,1200,180,140,0.0045,90000000,5000000,69,35,500,12.343,3.9484
36,1200,180,140,0.0045,90000000,5000000,69,35,500,13.166,3.9214
37,1200,180,140,0.0045,90000000,5000000,69,35,500,13.989,3.8794
38,1200,180,140,0.0045,90000000,5000000,69,35,500,14.811,3.8258
39,1200,180,140,0.0045,90000000,5000000,69,35,500,15.634,3.7634
40,1200,200,180,0.0035,40000,6.00E+11,30,50,600,0,0
41,1200,200,180,0.0035,40000,6.00E+11,30,50,600,0.64,0.0837
42,1200,200,180,0.0035,40000,6.00E+11,30,50,600,1.28,0.3498
43,1200,200,180,0.0035,40000,6.00E+11,30,50,600,1.92,0.549
44,1200,200,180,0.0035,40000,6.00E+11,30,50,600,2.56,0.651
45,1200,200,180,0.0035,40000,6.00E+11,30,50,600,3.2,0.7723
46,1200,200,180,0.0035,40000,6.00E+11,30,50,600,3.84,0.9033
47,1200,200,180,0.0035,40000,6.00E+11,30,50,600,4.48,1.0736
48,1200,200,180,0.0035,40000,6.00E+11,30,50,600,5.12,1.2739
49,1200,200,180,0.0035,40000,6.00E+11,30,50,600,5.76,1.4987
50,1200,200,180,0.0035,40000,6.00E+11,30,50,600,6.4,1.7388
51,1200,200,180,0.0035,40000,6.00E+11,30,50,600,7.04,1.9817
52,1200,200,180,0.0035,40000,6.00E+11,30,50,600,7.68,2.2158
53,1200,200,180,0.0035,40000,6.00E+11,30,50,600,8.32,2.4309
54,1200,200,180,0.0035,40000,6.00E+11,30,50,600,8.96,2.6193
55,1200,200,180,0.0035,40000,6.00E+11,30,50,600,9.6,2.7768
56,1200,200,180,0.0035,40000,6.00E+11,30,50,600,10.24,2.9028
57,1200,200,180,0.0035,40000,6.00E+11,30,50,600,10.88,2.9997
58,1200,200,180,0.0035,40000,6.00E+11,30,50,600,11.52,3.0718
59,1200,200,180,0.0035,40000,6.00E+11,30,50,600,12.16,3.1241
60,1200,200,180,0.01,800000000,200000000,95,40,300,0,0
61,1200,200,180,0.01,800000000,200000000,95,40,300,0.64,0.0872
62,1200,200,180,0.01,800000000,200000000,95,40,300,1.28,0.1093
63,1200,200,180,0.01,800000000,200000000,95,40,300,1.92,0.2585
64,1200,200,180,0.01,800000000,200000000,95,40,300,2.56,0.4543
65,1200,200,180,0.01,800000000,200000000,95,40,300,3.2,0.6444
66,1200,200,180,0.01,800000000,200000000,95,40,300,3.84,0.8183
67,1200,200,180,0.01,800000000,200000000,95,40,300,4.48,0.9932
68,1200,200,180,0.01,800000000,200000000,95,40,300,5.12,1.1861
69,1200,200,180,0.01,800000000,200000000,95,40,300,5.76,1.3966
70,1200,200,180,0.01,800000000,200000000,95,40,300,6.4,1.6227
71,1200,200,180,0.01,800000000,200000000,95,40,300,7.04,1.861
72,1200,200,180,0.01,800000000,200000000,95,40,300,7.68,2.1064
73,1200,200,180,0.01,800000000,200000000,95,40,300,8.32,2.3536
74,1200,200,180,0.01,800000000,200000000,95,40,300,8.96,2.5972
75,1200,200,180,0.01,800000000,200000000,95,40,300,9.6,2.8325
76,1200,200,180,0.01,800000000,200000000,95,40,300,10.24,3.0558
77,1200,200,180,0.01,800000000,200000000,95,40,300,10.88,3.264
78,1200,200,180,0.01,800000000,200000000,95,40,300,11.52,3.4548
79,1200,200,180,0.01,800000000,200000000,95,40,300,12.16,3.6267
80,1200,160,150,0.0035,80000000,70000000000,47,50,600,0,0
81,1200,160,150,0.0035,80000000,70000000000,47,50,600,0.768,0.128
82,1200,160,150,0.0035,80000000,70000000000,47,50,600,1.536,0.5259
83,1200,160,150,0.0035,80000000,70000000000,47,50,600,2.304,0.9737
84,1200,160,150,0.0035,80000000,70000000000,47,50,600,3.072,1.4494
85,1200,160,150,0.0035,80000000,70000000000,47,50,600,3.84,1.9888
86,1200,160,150,0.0035,80000000,70000000000,47,50,600,4.608,2.5411
87,1200,160,150,0.0035,80000000,70000000000,47,50,600,5.376,3.094
88,1200,160,150,0.0035,80000000,70000000000,47,50,600,6.144,3.6062
89,1200,160,150,0.0035,80000000,70000000000,47,50,600,6.912,4.0506
90,1200,160,150,0.0035,80000000,70000000000,47,50,600,7.68,4.416
91,1200,160,150,0.0035,80000000,70000000000,47,50,600,8.448,4.7012
92,1200,160,150,0.0035,80000000,70000000000,47,50,600,9.216,4.9146
93,1200,160,150,0.0035,80000000,70000000000,47,50,600,9.984,5.0669
94,1200,160,150,0.0035,80000000,70000000000,47,50,600,10.752,5.169
95,1200,160,150,0.0035,80000000,70000000000,47,50,600,11.52,5.2309
96,1200,160,150,0.0035,80000000,70000000000,47,50,600,12.288,5.2612
97,1200,160,150,0.0035,80000000,70000000000,47,50,600,13.056,5.2673
98,1200,160,150,0.0035,80000000,70000000000,47,50,600,13.824,5.2552
99,1200,160,150,0.0035,80000000,70000000000,47,50,600,14.592,5.2299
100,1200,120,80,0.008,600000,90000000000,56,35,400,0,0
101,1200,120,80,0.008,600000,90000000000,56,35,400,1.44,0.4809
102,1200,120,80,0.008,600000,90000000000,56,35,400,2.88,0.7083
103,1200,120,80,0.008,600000,90000000000,56,35,400,4.32,1.0518
104,1200,120,80,0.008,600000,90000000000,56,35,400,5.76,1.4073
105,1200,120,80,0.008,600000,90000000000,56,35,400,7.2,1.8129
106,1200,120,80,0.008,600000,90000000000,56,35,400,8.64,2.1782
107,1200,120,80,0.008,600000,90000000000,56,35,400,10.08,2.4606
108,1200,120,80,0.008,600000,90000000000,56,35,400,11.52,2.6592
109,1200,120,80,0.008,600000,90000000000,56,35,400,12.96,2.7793
110,1200,120,80,0.008,600000,90000000000,56,35,400,14.4,2.8346
111,1200,120,80,0.008,600000,90000000000,56,35,400,15.84,2.8393
112,1200,120,80,0.008,600000,90000000000,56,35,400,17.28,2.8053
113,1200,120,80,0.008,600000,90000000000,56,35,400,18.72,2.7429
114,1200,120,80,0.008,600000,90000000000,56,35,400,20.16,2.661
115,1200,120,80,0.008,600000,90000000000,56,35,400,21.6,2.5672
116,1200,120,80,0.008,600000,90000000000,56,35,400,23.04,2.4676
117,1200,120,80,0.008,600000,90000000000,56,35,400,24.48,2.3667
118,1200,120,80,0.008,600000,90000000000,56,35,400,25.92,2.268
119,1200,120,80,0.008,600000,90000000000,56,35,400,27.36,2.1735
120,1200,190,190,0.012,200000,8000000000,10,45,600,0,0
121,1200,190,190,0.012,200000,8000000000,10,45,600,0.606,0.0387
122,1200,190,190,0.012,200000,8000000000,10,45,600,1.213,0.0615
123,1200,190,190,0.012,200000,8000000000,10,45,600,1.819,0.0819
124,1200,190,190,0.012,200000,8000000000,10,45,600,2.425,0.052
125,1200,190,190,0.012,200000,8000000000,10,45,600,3.032,0.0116
126,1200,190,190,0.012,200000,8000000000,10,45,600,3.638,0.0272
127,1200,190,190,0.012,200000,8000000000,10,45,600,4.244,0.1022
128,1200,190,190,0.012,200000,8000000000,10,45,600,4.851,0.2339
129,1200,190,190,0.012,200000,8000000000,10,45,600,5.457,0.4131
130,1200,190,190,0.012,200000,8000000000,10,45,600,6.063,0.6274
131,1200,190,190,0.012,200000,8000000000,10,45,600,6.669,0.8658
132,1200,190,190,0.012,200000,8000000000,10,45,600,7.276,1.1154
133,1200,190,190,0.012,200000,8000000000,10,45,600,7.882,1.3659
134,1200,190,190,0.012,200000,8000000000,10,45,600,8.488,1.6074
135,1200,190,190,0.012,200000,8000000000,10,45,600,9.095,1.8325
136,1200,190,190,0.012,200000,8000000000,10,45,600,9.701,2.0364
137,1200,190,190,0.012,200000,8000000000,10,45,600,10.307,2.2165
138,1200,190,190,0.012,200000,8000000000,10,45,600,10.914,2.3721
139,1200,190,190,0.012,200000,8000000000,10,45,600,11.52,2.5041
140,1200,190,160,0.0085,3000,70000000,15,40,600,0,0
141,1200,190,160,0.0085,3000,70000000,15,40,600,0.72,0.1525
142,1200,190,160,0.0085,3000,70000000,15,40,600,1.44,0.171
143,1200,190,160,0.0085,3000,70000000,15,40,600,2.16,0.2145
144,1200,190,160,0.0085,3000,70000000,15,40,600,2.88,0.3079
145,1200,190,160,0.0085,3000,70000000,15,40,600,3.6,0.4054
146,1200,190,160,0.0085,3000,70000000,15,40,600,4.32,0.4303
147,1200,190,160,0.0085,3000,70000000,15,40,600,5.04,0.4786
148,1200,190,160,0.0085,3000,70000000,15,40,600,5.76,0.551
149,1200,190,160,0.0085,3000,70000000,15,40,600,6.48,0.6415
150,1200,190,160,0.0085,3000,70000000,15,40,600,7.2,0.7473
151,1200,190,160,0.0085,3000,70000000,15,40,600,7.92,0.8643
152,1200,190,160,0.0085,3000,70000000,15,40,600,8.64,0.9879
153,1200,190,160,0.0085,3000,70000000,15,40,600,9.36,1.1139
154,1200,190,160,0.0085,3000,70000000,15,40,600,10.08,1.2381
155,1200,190,160,0.0085,3000,70000000,15,40,600,10.8,1.3572
156,1200,190,160,0.0085,3000,70000000,15,40,600,11.52,1.4691
157,1200,190,160,0.0085,3000,70000000,15,40,600,12.24,1.5723
158,1200,190,160,0.0085,3000,70000000,15,40,600,12.96,1.6664
159,1200,190,160,0.0085,3000,70000000,15,40,600,13.68,1.7512
160,1200,160,150,0.003,10000000,3000000000,52,40,600,0,0
161,1200,160,150,0.003,10000000,3000000000,52,40,600,0.768,0.0665
162,1200,160,150,0.003,10000000,3000000000,52,40,600,1.536,0.4772
163,1200,160,150,0.003,10000000,3000000000,52,40,600,2.304,0.961
164,1200,160,150,0.003,10000000,3000000000,52,40,600,3.072,1.4026
165,1200,160,150,0.003,10000000,3000000000,52,40,600,3.84,1.8712
166,1200,160,150,0.003,10000000,3000000000,52,40,600,4.608,2.3193
167,1200,160,150,0.003,10000000,3000000000,52,40,600,5.376,2.7289
168,1200,160,150,0.003,10000000,3000000000,52,40,600,6.144,3.0788
169,1200,160,150,0.003,10000000,3000000000,52,40,600,6.912,3.3589
170,1200,160,150,0.003,10000000,3000000000,52,40,600,7.68,3.5727
171,1200,160,150,0.003,10000000,3000000000,52,40,600,8.448,3.7276
172,1200,160,150,0.003,10000000,3000000000,52,40,600,9.216,3.8342
173,1200,160,150,0.003,10000000,3000000000,52,40,600,9.984,3.9029
174,1200,160,150,0.003,10000000,3000000000,52,40,600,10.752,3.9423
